,ts_code,name,management,custodian,fund_type,found_date,due_date,list_date,issue_date,delist_date,issue_amount,m_fee,c_fee,duration_year,p_value,min_amount,exp_return,benchmark,status,invest_type,type,trustee,purc_startdate,redm_startdate,market
89,515450.SH,红利低波50ETF,南方基金,中国农业银行,股票型,20200117,,20200226,20191223,,4.7346,0.5,0.1,,1.0,0.1,,标普中国A股大盘红利低波50指数收益率,L,被动指数型,契约型开放式,,20200226,20200226,E
90,515570.SH,山证红利ETF,山西证券,中国银行,股票型,20200117,,20200409,20191223,,2.6444,0.5,0.1,,1.0,0.1,,中证红利潜力指数收益率,L,被动指数型,契约型开放式,,20200409,20200409,E
91,515700.SH,新能车ETF,平安基金,招商证券,股票型,20191231,,20200210,20191209,,2.8851,0.15,0.05,,1.0,0.1,,中证新能源汽车产业指数收益率,L,被动指数型,契约型开放式,,20200210,20200210,E
92,515380.SH,泰康沪深300ETF,泰康资产,招商银行,股票型,20191227,,20200323,20191115,,71.606,0.4,0.05,,1.0,0.1,,沪深300指数收益率,L,被动指数型,契约型开放式,,20200323,20200323,E
93,159993.SZ,龙头券商,鹏华基金,中信证券,股票型,20191226,,20200207,20191209,,9.747,0.5,0.1,,1.0,0.1,,国证证券龙头指数收益率,L,被动指数型,契约型开放式,,20200207,20200207,E
94,515350.SH,民生加银300ETF,民生加银基金,中国农业银行,股票型,20191224,,20200207,20191021,,3.6206,0.15,0.05,,1.0,0.1,,沪深300指数,L,被动指数型,契约型开放式,,20200207,20200207,E
95,515980.SH,人工智能ETF,华富基金,招商银行,股票型,20191224,,20200210,20191209,,2.9506,0.5,0.1,,1.0,0.1,,中证人工智能产业指数收益率,L,被动指数型,契约型开放式,,20200210,20200210,E
96,159986.SZ,消费100,弘毅远方基金,广发证券,股票型,20191219,,20200120,20190923,,2.1115,0.3,0.1,,1.0,0.1,,国证消费100指数收益率,L,被动指数型,契约型开放式,,20200120,20200120,E
97,501090.SH,消费龙头LOF,华宝基金,中国民生银行,股票型,20191219,,20200106,20191008,,2.8858,0.75,0.1,,1.0,0.0001,,中证消费龙头指数收益率*95%+人民币银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20200106,20200106,E
98,512730.SH,银行行业ETF,鹏华基金,中国建设银行,股票型,20191219,,20200207,20191008,,3.2558,0.3,0.1,,1.0,0.1,,中证银行指数收益率,L,被动指数型,契约型开放式,,20200207,20200207,E
99,159970.SZ,深100ET,工银瑞信基金,浦发银行/上海浦东发展银行,股票型,20191219,,20200110,20191014,,5.0826,0.45,0.1,,1.0,0.1,,深证100指数收益率,L,被动指数型,契约型开放式,,20200110,20200110,E
100,161837.SZ,银华大盘,银华基金,中国工商银行,混合型,20191216,,20200521,20191204,,18.4602,1.5,0.25,,1.0,0.001,,沪深300指数收益率*60%+恒生指数收益率(使用估值汇率调整)*20%+中证综合债指数收益率*20%,L,混合型,契约型开放式,,,,E
101,159979.SZ,湾创100,广发基金,招商银行,股票型,20191216,,20200214,20190909,,2.4493,0.3,0.1,,1.0,0.1,,同期粤港澳大湾区创新100指数收益率,L,被动指数型,契约型开放式,,20200214,20200214,E
102,159981.SZ,能源化工,建信基金,中国农业银行,商品型,20191213,,20200117,20191111,,4.8454,0.5,0.1,,1.0,0.1,,易盛郑商所能源化工指数A收益率,L,能源化工期货型,契约型开放式,,20200117,20200117,E
103,515390.SH,华安沪深300ETF,华安基金,招商银行,股票型,20191213,,20200110,20191028,,4.4268,0.15,0.05,,1.0,0.1,,沪深300指数收益率,L,被动指数型,契约型开放式,,20200110,20200110,E
104,515070.SH,人工智能AIETF,华夏基金,中国银行,股票型,20191209,,20191224,20191121,,9.9047,0.5,0.1,,1.0,0.1,,中证人工智能主题指数收益率,L,被动指数型,契约型开放式,,20191224,20191224,E
105,159990.SZ,小盘价值,银华基金,华泰证券,股票型,20191206,,20200120,20191118,,5.0842,0.5,0.1,,1.0,0.1,,巨潮小盘价值指数,L,被动指数型,契约型开放式,,20200120,20200120,E
106,167506.SZ,深圳科技,安信基金,中国农业银行,股票型,20191206,,20200106,20191111,,6.5629,0.5,0.1,,1.0,0.001,,中证深圳科技创新主题指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20200106,20200106,E
107,515330.SH,300ETF天弘,天弘基金,招商证券,股票型,20191205,,20191226,20191104,,2.3671,0.5,0.1,,1.0,0.1,,沪深300指数收益率,L,被动指数型,契约型开放式,,20191226,20191226,E
108,515870.SH,先进制造ETF,嘉实基金,中国银行,股票型,20191205,,20200117,20191104,,2.715,0.5,0.1,,1.0,0.1,,中证先进制造100策略指数收益率,L,被动指数型,契约型开放式,,20200117,20200117,E
109,515310.SH,沪深300添富ETF,汇添富基金,招商银行,股票型,20191204,,20191225,20190927,,2.7611,0.15,0.05,,1.0,0.1,,沪深300指数收益率,L,被动指数型,契约型开放式,,20191225,20191225,E
110,501089.SH,消费红利增强LOF,方正富邦基金,中国民生银行,股票型,20191129,,20191231,20191008,,2.0577,1.2,0.2,,1.0,0.0001,,中证主要消费红利指数收益率*95%+人民币银行活期存款收益率(税后)*5%,L,增强指数型,契约型开放式,,20191231,20191231,E
111,159984.SZ,湾区基金,南方基金,招商银行,股票型,20191129,,20200117,20190909,,6.5359,0.3,0.1,,1.0,0.1,,粤港澳大湾区创新100指数,L,被动指数型,契约型开放式,,20200117,20200117,E
112,515060.SH,房地产ETF基金,华夏基金,中国银行,股票型,20191128,,20200103,20191101,,2.3348,0.5,0.1,,1.0,0.1,,中证全指房地产指数收益率,L,被动指数型,契约型开放式,,20200103,20200103,E
113,515080.SH,中证红利ETF,招商基金,浦发银行/上海浦东发展银行,股票型,20191128,,20191227,20191021,,3.4015,0.2,0.1,,1.0,0.1,,中证红利指数收益率,L,被动指数型,契约型开放式,,20191227,20191227,E
114,515180.SH,红利ETF易方达,易方达基金,中国银行,股票型,20191126,,20191220,20191030,,9.9264,0.15,0.05,,1.0,0.1,,中证红利指数收益率,L,被动指数型,契约型开放式,,20191220,20191220,E
115,515660.SH,国联安沪深300ETF,国联安基金,中国工商银行,股票型,20191125,,20191224,20190828,,5.0099,0.3,0.05,,1.0,0.1,,沪深300指数,L,被动指数型,契约型开放式,,20191224,20191224,E
116,159982.SZ,中证500,鹏华基金,中国工商银行,股票型,20191121,,20200220,20190909,,4.9021,0.15,0.05,,1.0,0.1,,中证500指数收益率,L,被动指数型,契约型开放式,,20200220,20200220,E
117,515550.SH,中融中证500ETF,中融基金,中国光大银行,股票型,20191115,,20191225,20190903,,2.3535,0.3,0.1,,1.0,0.1,,中证500指数收益率,L,被动指数型,契约型开放式,,20191225,20191225,E
118,515750.SH,科技50ETF,富国基金,中信建投,股票型,20191115,,20191206,20191015,,21.4014,0.5,0.1,,1.0,0.1,,中证科技50策略指数收益率,L,被动指数型,契约型开放式,,20191206,20191206,E
119,515590.SH,500等权ETF,前海开源基金,中国银河,股票型,20191114,,20200120,20191028,,7.6011,0.15,0.05,,1.0,0.1,,中证500等权重指数,L,被动指数型,契约型开放式,,20200120,20200120,E
120,511060.SH,5年地方债ETF,海富通基金,招商银行,债券型,20191107,,20191212,20190801,,109.7863,0.15,0.05,,1.0,0.1,,上证5年期地方政府债指数收益率,L,被动指数型,契约型开放式,,20191212,20191212,E
121,159975.SZ,深100SZ,招商基金,交通银行,股票型,20191107,,20200102,20190826,,9.8117,0.2,0.1,,1.0,0.1,,深证100指数(价格)收益率,L,被动指数型,契约型开放式,,20200102,20200102,E
